"filename", "language", "HTTP", "Markdown", "JSON", "YAML", "Dart", "C++", "XML", "Swift", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"d:\Projetcs\IT Projects\Flutter\covid_tracker\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 11, 61
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 11, 1, 43
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"d:\Projetcs\IT Projects\Flutter\covid_tracker\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"d:\Projetcs\IT Projects\Flutter\covid_tracker\assets\icons\Drcorona.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Projetcs\IT Projects\Flutter\covid_tracker\assets\icons\coronadr.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Projetcs\IT Projects\Flutter\covid_tracker\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\Projetcs\IT Projects\Flutter\covid_tracker\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Projetcs\IT Projects\Flutter\covid_tracker\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Projetcs\IT Projects\Flutter\covid_tracker\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Projetcs\IT Projects\Flutter\covid_tracker\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"d:\Projetcs\IT Projects\Flutter\covid_tracker\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"d:\Projetcs\IT Projects\Flutter\covid_tracker\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\constant.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 5, 9, 47
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\main.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\screens\home\components\country_update.dart", "Dart", 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 12, 18, 208
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\screens\home\components\header.dart", "Dart", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 4, 5, 93
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\screens\home\components\learn_more.dart", "Dart", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 12, 5, 100
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\screens\home\components\prevention.dart", "Dart", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 12, 6, 137
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\screens\home\components\self_test.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\screens\home\components\symtomps_contact.dart", "Dart", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 8, 131
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\screens\home\home_screen.dart", "Dart", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 12, 9, 89
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\screens\navigation_drawer.dart", "Dart", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 9, 6, 96
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\theme\my_theme.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 12, 5, 41
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\theme\theme.dart", "Dart", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 9, 51
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\utilities\NumberDisplay.dart", "Dart", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 14, 114
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\widgets\ALL.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\widgets\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 2, 11, 87
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\widgets\global_update.dart", "Dart", 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 27, 20, 233
"d:\Projetcs\IT Projects\Flutter\covid_tracker\lib\widgets\reusable_card.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 7, 5, 64
"d:\Projetcs\IT Projects\Flutter\covid_tracker\pubspec.yaml", "YAML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 43, 14, 81
"d:\Projetcs\IT Projects\Flutter\covid_tracker\rest_api\ncov_2019_api.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projetcs\IT Projects\Flutter\covid_tracker\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Projetcs\IT Projects\Flutter\covid_tracker\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 14, 6, 99
"d:\Projetcs\IT Projects\Flutter\covid_tracker\web\manifest.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 0, 13, 168, 24, 1342, 1, 132, 12, 80, 8, 79, 237, 215, 2311